BADA3_AIRCRAFT_MAPPING;;;;
BADA3_TYPE;ICAO_CODE;USER_ACFT_ID;AIRFRAME;ENGINE
F900__;F900;;;
AJET__;F9F;;;
C162__;FA01;;;
C162__;FA02;;;
DIMO__;FA03;;;
C152__;FA04;;;
FA10__;FA10;;;
C188__;FA11;;;
FA20__;FA20;;;
DV20__;FA24;;;
FA50__;FA50;;;
GLF2__;FA5X;;;
C152__;FA62;;;
GLF5__;FA6X;;;
FA7X__;FA7X;;;
FA7X__;FA8X;;;
C162__;FAET;;;
C152__;FALM;;;
MAGC__;FANL;;;
TEX2__;FANT;;;
MAGC__;FB5;;;
C210__;FBA2;;;
F16U__;FC1;;;
C162__;FDCT;;;
C162__;FDF2;;;
C162__;FDMC;;;
SVNH__;FEST;;;
Q2UU__;FFLO;;;
C421__;FFLY;;;
FGTH__;FGTH;;;
FGTL__;FGTL;;;
C525__;FJ10;;;
EV97__;FK12;;;
C162__;FK14;;;
EV97__;FK9;;;
C414__;FLAM;;;
FLCO__;FLCO;;;
MAGC__;FLSH;;;
MAGC__;FLSS;;;
EV97__;FM25;;;
SVNH__;FMGO;;;
L39U__;FOUG;;;
MAGC__;FOX;;;
E300__;FOXT;;;
T206__;FRBD;;;
EV97__;FU24;;;
C402__;FURY;;;
C162__;FUSI;;;
C162__;FW02;;;
DV20__;FW44;;;
C188__;FWSB;;;
EV97__;FX1;;;
SVNH__;G1;;;
DIMO__;G103;;;
DIMO__;G109;;;
P28U__;G115;;;
BE36__;G120;;;
E500__;G12T;;;
E500__;G140;;;
G150__;G150;;;
AT43__;G159;;;
K100__;G160;;;
C188__;G164;;;
MAGC__;G180;;;
RV8U__;G200;;;
RV8U__;G202;;;
DA62__;G21;;;
C414__;G21M;;;
BE20__;G21T;;;
F27U__;G222;;;
G280__;G250;;;
G280__;G280;;;
P28A__;G2CA;;;
L39U__;G2GL;;;
EV97__;G2T1;;;
MAGC__;G3;;;
C188__;G44;;;
L39U__;G4SG;;;
DV20__;G64T;;;
EV97__;G70;;;
C421__;G73;;;
DHC6__;G73T;;;
E300__;G800;;;
U2UU__;G850;;;
L39U__;G91;;;
P38U__;G96;;;
P750__;GA10;;;
C188__;GA20;;;
FA7X__;GA4C;;;
GLF5__;GA5C;;;
GLF5__;GA6C;;;
PA44__;GA7;;;
GLEX__;GA7C;;;
DA50__;GA8;;;
GLEX__;GA8C;;;
E300__;GABR;;;
HA4T__;GALX;;;
JS32__;GANT;;;
E300__;GB1;;;
DR40__;GC1;;;
DA42__;GDUK;;;
C172__;GEMI;;;
U2UU__;GFLY;;;
GL5T__;GL5T;;;
GLEX__;GL7T;;;
RV8U__;GLAS;;;
GLEX__;GLEX;;;
GLF2__;GLF2;;;
GLF2__;GLF3;;;
CRJ9__;GLF4;;;
GLF5__;GLF5;;;
GLEX__;GLF6;;;
DR40__;GLSP;;;
P28U__;GLST;;;
TEX2__;GLTU;;;
K100__;GM17;;;
L39U__;GNAT;;;
C150__;GOLF;;;
C150__;GP1;;;
RV8U__;GP4;;;
E300__;GPRO;;;
TBM8__;GR51;;;
P750__;GRIZ;;;
EV97__;GSIS;;;
C550__;GSPN;;;
EV97__;GUEP;;;
C162__;GX;;;
EV97__;GY20;;;
C152__;GY80;;;
P38U__;H111;;;
BE20__;H160;;;
JS41__;H2;;;
C162__;H207;;;
H25A__;H25A;;;
H25B__;H25B;;;
H25B__;H25C;;;
P28U__;H269;;;
C152__;H40;;;
JS41__;H47;;;
E500__;H500;;;
JS41__;H53;;;
JS41__;H60;;;
BE99__;H64;;;
HA4T__;HA4T;;;
AJET__;HAR;;;
HAWK__;HAWK;;;
DIMO__;HB21;;;
DIMO__;HB23;;;
EV97__;HB3;;;
P38U__;HD34;;;
HDJT__;HDJT;;;
P28A__;HELI;;;
S2PU__;HERN;;;
H25A__;HF20;;;
MAGC__;HIGH;;;
EV97__;HN70;;;
M20P__;HR10;;;
DV20__;HR20;;;
C402__;HRM9;;;
MAGC__;HRNT;;;
RV8U__;HROC;;;
Q9UU__;HRON;;;
L39U__;HT16;;;
T206__;HT34;;;
L39U__;HT36;;;
E500__;HT40;;;
DIMO__;HU1;;;
DIMO__;HU2;;;
TBM8__;HUCO;;;
MAGC__;HUML;;;
AJET__;HUNT;;;
P180__;HURI;;;
TEX2__;HURK;;;
DR40__;HUSK;;;
SVNH__;HYPR;;;
F27U__;I112;;;
F27U__;I114;;;
AJET__;I22;;;
DA40__;I23;;;
DA40__;I3;;;
K100__;I828;;;
P38U__;IA50;;;
TEX2__;IA58;;;
L39U__;IA63;;;
F27U__;IL14;;;
AN12__;IL18;;;
A10U__;IL28;;;
C30J__;IL38;;;
DC87__;IL62;;;
IL76__;IL76;;;
IL86__;IL86;;;
IL96__;IL96;;;
E300__;IMPU;;;
C162__;INCQ;;;
C152__;INEC;;;
C172__;INEX;;;
